key,code,start,finish,location,instructor,contactEmail,link,key:trainingModule
training-session-18,"TS-AB-010","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule18@acmesf.com","http://AcmeSF",training-module-18
training-session-19,"TS-AB-011","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF1",training-module-19
training-session-20,"TS-AB-012","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------",training-module-20
training-session-21,"TS-AB-013","2000/01/01 00:00","2000/01/01 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-01
training-session-22,"TS-AB-014","2022/07/08 19:59","2022/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-21
training-session-23,"TS-AB-015","2020/07/08 19:59","2020/07/18 17:46","Lo","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-01
training-session-24,"TS-AB-016","2020/07/08 19:59","2020/07/18 17:46","証拠","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-01
training-session-25,"TS-AB-017","2020/07/08 19:59","2020/07/18 17:46","<h3>Prueba</h3>","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-01
training-session-26,"TS-AB-018","2020/07/08 19:59","2020/07/18 17:46","доказательство","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-01
training-session-27,"TS-AB-019","2020/07/08 19:59","2020/07/18 17:46","L--------------------------------------------------------------------------","Instructor","trainingModule@acmesf.com","http://AcmeSF",training-module-01
training-session-28,"TS-AB-020","2020/07/08 19:59","2020/07/18 17:46","Location","In","trainingModule@acmesf.com","http://AcmeSF",training-module-02
training-session-29,"TS-AB-021","2020/07/08 19:59","2020/07/18 17:46","Location","証拠","trainingModule@acmesf.com","http://AcmeSF",training-module-02
training-session-30,"TS-AB-022","2020/07/08 19:59","2020/07/18 17:46","Location","<h3>Prueba</h3>","trainingModule@acmesf.com","http://AcmeSF",training-module-02
training-session-31,"TS-AB-023","2020/07/08 19:59","2020/07/18 17:46","Location","доказательство","trainingModule@acmesf.com","http://AcmeSF",training-module-02
training-session-32,"TS-AB-024","2020/07/08 19:59","2020/07/18 17:46","Location","I--------------------------------------------------------------------------","trainingModule@acmesf.com","http://AcmeSF",training-module-02
training-session-33,"TS-AB-025","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule33@acmesf.com","http://AcmeSF",training-module-03
training-session-34,"TS-AB-026","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","証拠@acmesf.com","http://AcmeSF",training-module-03
training-session-35,"TS-AB-027","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","доказательство@acmesf.com","http://AcmeSF",training-module-03
training-session-36,"TS-ABC-028","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeJobCon254Caracteres--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------",training-module-04
training-session-37,"TS-ABC-029","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeJobCon255Caracteres---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------",training-module-04
training-session-38,"TS-ABC-030","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","ftp://ftp.example.org1",training-module-04
training-session-39,"TS-ABC-031","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://example.org/api?key=123456789&format=json",training-module-04
training-session-40,"TS-ABC-032","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com",,training-module-04
